Team,G ,Pts/G ,Yds/G ,RushYds/G ,PassYds/G ,Int ,IntTD ,FFum ,DefTD ,Tack ,PD ,Sack 
Seattle Seahawks,16,15.9,267.1,81.5,185.6,13,2,14,2,581,67,37
Kansas City Chiefs,16,17.6,330.5,127.3,203.3,6,1,10,1,697,78,46
Detroit Lions,16,17.6,300.9,69.3,231.6,20,1,11,2,641,76,42
Buffalo Bills,16,18.1,312.2,106.4,205.8,19,0,13,1,684,78,54
Arizona Cardinals,16,18.7,368.2,108.7,259.5,18,3,7,4,684,63,35
Baltimore Ravens,16,18.9,336.9,88.3,248.7,11,1,14,1,606,79,49
Houston Texans,16,19.2,348.2,105.1,243.1,20,4,16,5,655,95,38
New England Patriots,16,19.6,344.1,104.3,239.8,16,0,14,2,616,65,40
Cleveland Browns,16,21.1,366.1,141.6,224.5,21,2,10,3,619,99,31
San Francisco 49ers,16,21.3,321.4,100.8,220.7,23,2,10,3,647,87,36
Minnesota Vikings,16,21.4,344.7,121.4,223.3,13,2,8,3,669,64,41
Cincinnati Bengals,16,21.5,359.3,116.3,243,20,1,5,1,591,95,20
San Diego Chargers,16,21.8,338.3,124.1,214.2,7,0,15,3,679,58,26
Green Bay Packers,16,21.8,346.4,119.9,226.4,18,3,11,4,674,88,41
Dallas Cowboys,16,22,355.1,103.1,251.9,18,2,15,3,642,73,28
Denver Broncos,16,22.1,305.2,79.8,225.4,18,2,15,3,670,94,41
St. Louis Rams,16,22.1,351.6,110.3,241.3,13,3,16,3,732,66,40
Pittsburgh Steelers,16,23,353.4,100.3,253.1,11,4,11,5,586,54,33
Indianapolis Colts,16,23.1,342.7,113.4,229.3,12,1,18,2,615,79,41
Miami Dolphins,16,23.3,343.4,121.1,222.3,14,2,12,3,696,57,39
Carolina Panthers,16,23.4,339.8,112,227.8,14,2,20,2,595,72,40
New York Giants,16,25,375.8,135.1,240.6,17,0,14,1,692,76,47
Philadelphia Eagles,16,25,375.6,110.7,264.9,12,2,22,4,716,83,49
New York Jets,16,25.1,327.2,93.1,234.1,6,0,7,0,616,53,45
Tampa Bay Buccaneers,16,25.6,368.9,113.7,255.3,14,3,14,3,746,67,36
Jacksonville Jaguars,16,25.8,370.8,127.1,243.7,6,1,19,3,688,49,45
Atlanta Falcons,16,26.1,398.3,118.4,279.9,16,1,11,2,620,67,22
New Orleans Saints,16,26.5,384,132.8,251.2,12,0,11,0,640,60,34
Tennessee Titans,16,27.4,373,137.2,235.8,12,1,5,2,681,72,39
Washington Redskins,16,27.4,357,107.6,249.4,7,0,14,0,635,46,36
Chicago Bears,16,27.6,377.1,112.7,264.4,14,1,15,1,622,55,39
Oakland Raiders,16,28.3,357.6,119.4,238.1,9,0,10,1,695,58,22
