Name,Team,G,Rush ,RushYds,RushY/G,RushAvg,RushTD,Rec ,Tgt ,RecYds,RecY/G,RecAvg,RecLng,YAC ,1stD ,RecTD,Fum ,FumL 
 DeMarco Murray,DAL,16,392,1845,115.3,4.7,13,57,64,416,26,7.3,34,8.8,16,0,5,5
 Le'Veon Bell,PIT,16,290,1361,85.1,4.7,8,83,105,854,53.4,10.3,48,10.1,41,3,0,0
 LeSean McCoy,PHI,16,312,1319,82.4,4.2,5,28,37,155,9.7,5.5,18,7.1,10,0,4,3
 Marshawn Lynch,SEA,16,280,1306,81.6,4.7,13,37,48,367,22.9,9.9,39,11.2,16,4,3,2
 Justin Forsett,BAL,16,235,1266,79.1,5.4,8,44,59,263,16.4,6,26,7.5,10,0,1,0
 Arian Foster,HOU,13,260,1246,95.8,4.8,8,38,59,327,25.2,8.6,56,7.4,15,5,2,2
 Eddie Lacy,GNB,16,246,1139,71.2,4.6,9,42,55,427,26.7,10.2,67,10.9,17,4,3,2
 Jeremy Hill,CIN,16,222,1124,70.3,5.1,9,27,32,215,13.4,8,38,8.3,7,0,5,2
 Frank Gore,SFO,16,255,1106,69.1,4.3,4,11,19,111,6.9,10.1,55,9.5,2,1,2,2
 Lamar Miller,MIA,16,216,1099,68.7,5.1,8,38,52,275,17.2,7.2,20,6.5,10,1,3,3
 Alfred Morris,WAS,16,265,1074,67.1,4.1,8,17,26,155,9.7,9.1,26,9.4,8,0,2,0
 Matt Forte,CHI,16,266,1038,64.9,3.9,6,102,130,808,50.5,7.9,56,8.2,28,4,2,2
 Jamaal Charles,KAN,15,206,1033,68.9,5,9,40,59,291,19.4,7.3,30,8.3,15,5,5,3
 Mark Ingram,NOR,13,226,964,74.2,4.3,9,29,36,145,11.2,5,14,5.2,5,0,3,1
 Joique Bell,DET,15,223,860,57.3,3.9,7,34,53,322,21.5,9.5,28,10,14,1,5,1
 C.J. Anderson,DEN,15,179,849,56.6,4.7,8,34,44,324,21.6,9.5,51,8.6,13,2,1,0
 Chris Ivory,NYJ,16,198,821,51.3,4.1,6,18,27,123,7.7,6.8,23,7,4,1,2,1
 Jonathan Stewart,CAR,13,175,809,62.2,4.6,3,25,31,181,13.9,7.2,22,8.8,7,1,2,1
 Tre Mason,STL,12,179,765,63.8,4.3,4,16,26,148,12.3,9.3,35,10.3,8,1,2,1
 Andre Williams,NYG,16,217,721,45.1,3.3,7,18,37,130,8.1,7.2,24,8.2,6,0,1,0
 Steven Jackson,ATL,15,190,707,47.1,3.7,6,20,27,148,9.9,7.4,17,6.3,6,0,0,0
 Giovani Bernard,CIN,13,168,680,52.3,4,5,43,59,349,26.8,8.1,46,8.4,13,2,0,0
 Terrance West,CLE,14,171,673,48.1,3.9,4,11,13,64,4.6,5.8,11,5.1,3,1,2,1
 Chris Johnson,NYJ,16,155,663,41.4,4.3,1,24,35,151,9.4,6.3,26,6.6,9,1,1,1
 Andre Ellington,ARI,12,201,660,55,3.3,3,46,64,395,32.9,8.6,81,8.2,19,2,2,2
 Rashad Jennings,NYG,11,167,639,58.1,3.8,4,30,41,226,20.5,7.5,27,10.6,8,0,1,1
 Isaiah Crowell,CLE,16,148,607,37.9,4.1,8,9,14,87,5.4,9.7,19,7.9,4,0,3,2
 Denard Robinson,JAC,13,135,582,44.8,4.3,4,23,31,124,9.5,5.4,19,8.9,6,0,2,2
 Branden Oliver,SDG,14,160,582,41.6,3.6,3,36,45,271,19.4,7.5,50,10,11,1,0,0
 Matt Asiata,MIN,15,164,570,38,3.5,9,44,63,312,20.8,7.1,41,7.9,7,1,1,1
 Bishop Sankey,TEN,16,152,569,35.6,3.7,2,18,23,133,8.3,7.4,18,8.4,5,0,2,2
 LeGarrette Blount,NWE,5,125,547,34.2,4.4,5,10,12,54,3.4,5.4,13,6.2,4,0,1,1
 Jerick McKinnon,MIN,11,113,538,48.9,4.8,0,27,41,135,12.3,5,17,6.7,7,0,0,0
 Darren McFadden,OAK,16,155,534,33.4,3.4,2,36,56,212,13.3,5.9,23,7.4,8,0,1,1
 Alfred Blue,HOU,16,169,528,33,3.1,2,15,18,113,7.1,7.5,22,5.1,7,1,0,0
 Fred Jackson,BUF,14,141,525,37.5,3.7,2,66,90,501,35.8,7.6,34,9.1,25,1,3,0
 Trent Richardson,IND,15,159,519,34.6,3.3,3,27,34,229,15.3,8.5,24,9.1,9,0,2,1
 Doug Martin,TAM,11,134,494,44.9,3.7,2,13,20,64,5.8,4.9,20,5,3,0,0,0
 Knile Davis,KAN,16,134,463,28.9,3.5,6,16,25,147,9.2,9.2,70,10.1,6,1,4,2
 Ronnie Hillman,DEN,8,106,434,54.3,4.1,3,21,34,139,17.4,6.6,16,5.5,6,1,1,0
 Boobie Dixon,BUF,16,105,432,27,4.1,2,8,9,49,3.1,6.1,10,6,3,0,1,0
 Ahmad Bradshaw,IND,10,90,425,42.5,4.7,2,38,47,300,30,7.9,22,9.1,20,6,3,2
 Latavius Murray,OAK,15,82,424,28.3,5.2,2,17,23,143,9.5,8.4,46,9.2,3,0,1,0
 Jonas Gray,NWE,8,89,412,51.5,4.6,5,1,3,7,0.9,7,7,3,0,0,0,0
 Bobby Rainey,TAM,15,94,406,27.1,4.3,1,33,45,315,21,9.5,34,8.7,12,1,3,3
 Shonn Greene,TEN,13,94,392,30.2,4.2,2,1,3,13,1,13,13,10,1,0,1,1
 Shane Vereen,NWE,16,96,391,24.4,4.1,2,52,77,447,27.9,8.6,49,7.7,24,3,0,0
 Ben Tate,CLE,8,119,371,33.7,3.1,4,9,12,60,5.5,6.7,23,5.4,3,0,0,0
 Bernard Pierce,BAL,13,93,366,28.2,3.9,2,2,6,13,1,6.5,7,5,0,0,1,1
 Khiry Robinson,NOR,10,76,362,36.2,4.8,3,8,11,63,6.3,7.9,17,11.1,2,0,1,1
 Daniel Herron,IND,16,78,351,21.9,4.5,1,21,26,173,10.8,8.2,26,9.2,7,0,2,2
 Joseph Randle,DAL,16,51,343,21.4,6.7,3,4,5,23,1.4,5.8,14,8,1,0,2,2
 Stevan Ridley,NWE,6,94,340,56.7,3.6,2,4,5,20,3.3,5,7,7,0,0,0,0
 James Starks,GNB,16,85,333,20.8,3.9,2,18,29,140,8.8,7.8,28,7.1,6,0,1,0
 Carlos Hyde,SFO,14,83,333,23.8,4,4,12,16,68,4.9,5.7,16,5.8,3,0,1,1
 Ryan Mathews,SDG,6,74,330,55,4.5,3,9,10,69,11.5,7.7,16,7.1,4,0,1,0
 Darren Sproles,PHI,15,57,329,21.9,5.8,6,40,62,387,25.8,9.7,57,10.6,17,0,2,1
 Toby Gerhart,JAC,14,101,326,23.3,3.2,2,20,24,186,13.3,9.3,26,11.6,10,0,1,1
 Robert Turbin,SEA,16,74,310,19.4,4.2,0,16,20,186,11.6,11.6,34,10.4,9,2,1,1
 C.J. Spiller,BUF,9,78,300,33.3,3.8,0,19,22,125,13.9,6.6,25,10.3,6,1,3,1
 Reggie Bush,DET,11,76,297,27,3.9,2,40,56,253,23,6.3,28,6.6,13,0,0,0
 Zac Stacy,STL,13,76,293,22.5,3.9,1,18,23,152,11.7,8.4,17,9,9,0,2,2
 Lorenzo Taliaferro,BAL,13,68,292,22.5,4.3,4,8,10,114,8.8,14.3,29,13,4,0,1,1
 Juwan Thompson,DEN,15,54,272,18.1,5,3,4,7,25,1.7,6.3,14,5,0,0,1,0
 Devonta Freeman,ATL,16,65,248,15.5,3.8,1,30,37,225,14.1,7.5,36,6.1,8,1,1,1
 Kerwynn Williams,ARI,5,53,246,49.2,4.6,0,2,6,11,2.2,5.5,6,7,0,0,1,0
 Benny Cunningham,STL,16,66,246,15.4,3.7,3,45,53,352,22,7.8,19,7.4,21,1,1,1
 Donald Brown,SDG,13,85,223,17.2,2.6,0,29,41,211,16.2,7.3,24,10.5,7,0,0,0
 Pierre Thomas,NOR,11,45,222,20.2,4.9,2,45,55,378,34.4,8.4,39,9.6,19,1,0,0
 DeAngelo Williams,CAR,6,62,219,36.5,3.5,0,5,6,44,7.3,8.8,30,11.4,2,0,1,1
 Jacquizz Rodgers,ATL,16,58,217,13.6,3.7,1,29,40,173,10.8,6,14,6.5,9,1,1,0
 Roy Helu Jr.,WAS,14,40,216,15.4,5.4,1,42,47,477,34.1,11.4,55,12.6,16,2,2,1
 Stepfan Taylor,ARI,14,63,208,14.9,3.3,1,11,15,79,5.6,7.2,18,6.4,5,3,0,0
 Jordan Todman,JAC,16,32,186,11.6,5.8,1,25,37,198,12.4,7.9,26,8.2,6,1,0,0
 Charles Sims,TAM,8,66,185,23.1,2.8,1,19,27,190,23.8,10,24,10.7,6,0,2,1
 Christine Michael,SEA,10,34,175,17.5,5.1,0,1,2,12,1.2,12,12,18,0,0,1,0
 Chris Polk,PHI,14,46,172,12.3,3.7,4,2,3,16,1.1,8,15,12,1,0,0,0
 Montee Ball,DEN,5,55,172,34.4,3.1,1,9,13,62,12.4,6.9,16,5.9,2,0,1,1
 Daniel Thomas,MIA,12,44,168,14,3.8,2,13,19,121,10.1,9.3,25,9.3,8,0,1,1
 Ka'Deem Carey,CHI,14,36,158,11.3,4.4,0,5,6,57,4.1,11.4,18,9.6,2,0,0,0
 Jonathan Grimes,HOU,16,39,153,9.6,3.9,0,6,8,86,5.4,14.3,31,12.3,4,0,0,0
 Knowshon Moreno,MIA,3,31,148,49.3,4.8,1,1,1,8,2.7,8,8,11,0,0,0,0
 Fozzy Whittaker,CAR,10,32,145,14.5,4.5,1,5,6,60,6,12,26,16.2,2,1,0,0
 Antone Smith,ATL,10,23,144,14.4,6.3,2,13,15,222,22.2,17.1,74,18,5,3,1,1
 Bilal Powell,NYJ,15,33,141,9.4,4.3,1,11,16,92,6.1,8.4,20,9.2,5,0,0,0
 Dexter McCluster,TEN,14,40,131,9.4,3.3,0,26,36,197,14.1,7.6,25,5.5,10,1,0,0
 Bryce Brown,BUF,7,36,126,18,3.5,0,16,25,176,25.1,11,40,11.5,8,0,1,1
 Damien Williams,MIA,16,36,122,7.6,3.4,0,21,27,187,11.7,8.9,32,7.3,13,1,0,0
 Peyton Hillis,NYG,9,26,115,12.8,4.4,0,10,16,87,9.7,8.7,26,10.1,2,0,0,0
 De'Anthony Thomas,KAN,12,14,113,9.4,8.1,1,23,31,156,13,6.8,30,7.9,7,0,0,0
 Lance Dunbar,DAL,16,29,99,6.2,3.4,0,18,22,217,13.6,12.1,40,10.9,11,0,0,0
 Maurice Jones-Drew,OAK,12,43,96,8,2.2,0,11,16,71,5.9,6.5,12,6.1,3,0,1,0
 Brandon Bolden,NWE,16,28,89,5.6,3.2,1,2,6,8,0.5,4,4,5.5,0,0,0,0
 Joe Banyard,MIN,15,21,88,5.9,4.2,0,9,11,62,4.1,6.9,12,8.8,4,0,0,0
 Storm Johnson,JAC,6,29,86,14.3,3,2,1,1,-4,-0.7,-4,-4,1,0,0,0,0
 Marcel Reece,OAK,15,21,85,5.7,4,0,37,59,265,17.7,7.2,19,5.7,12,1,1,1
 John Kuhn,GNB,16,24,85,5.3,3.5,1,4,4,23,1.4,5.8,9,6.5,0,0,0,0
 Darrin Reaves,CAR,6,31,78,13,2.5,0,5,8,31,5.2,6.2,16,8.4,1,0,0,0
