Team,G ,PR ,Yds ,Avg ,KR ,Yds ,Avg 
Baltimore Ravens,16,32,292,9.1,38,1077,28.3
Kansas City Chiefs,16,50,605,12.1,51,1430,28
Indianapolis Colts,16,45,312,6.9,38,1065,28
Cincinnati Bengals,16,40,436,10.9,45,1241,27.6
Philadelphia Eagles,16,41,531,13,32,874,27.3
Miami Dolphins,16,25,204,8.2,41,1082,26.4
New Orleans Saints,16,19,134,7.1,21,543,25.9
Denver Broncos,16,41,296,7.2,32,802,25.1
San Francisco 49ers,16,35,227,6.5,45,1104,24.5
Detroit Lions,16,32,284,8.9,25,612,24.5
St. Louis Rams,16,37,482,13,45,1099,24.4
Jacksonville Jaguars,16,37,264,7.1,43,1033,24
Dallas Cowboys,16,30,275,9.2,33,790,23.9
Chicago Bears,16,21,109,5.2,55,1290,23.5
Atlanta Falcons,16,18,239,13.3,50,1174,23.5
Tennessee Titans,16,30,207,6.9,48,1121,23.4
Buffalo Bills,16,37,354,9.6,33,770,23.3
New York Giants,16,29,224,7.7,44,1025,23.3
New York Jets,16,43,273,6.3,58,1342,23.1
Tampa Bay Buccaneers,16,23,249,10.8,36,819,22.8
New England Patriots,16,41,431,10.5,31,693,22.4
San Diego Chargers,16,23,203,8.8,26,577,22.2
Oakland Raiders,16,37,261,7.1,47,1027,21.9
Carolina Panthers,16,30,239,8,37,805,21.8
Washington Redskins,16,29,208,7.2,36,783,21.8
Minnesota Vikings,16,27,297,11,54,1173,21.7
Pittsburgh Steelers,16,32,321,10,35,758,21.7
Cleveland Browns,16,27,181,6.7,37,801,21.6
Houston Texans,16,34,208,6.1,20,422,21.1
Seattle Seahawks,16,36,252,7,39,820,21
Green Bay Packers,16,29,333,11.5,29,555,19.1
Arizona Cardinals,16,26,277,10.7,22,417,19
