Team,G,Pts/G,Yds/G,RushYds/G,PassYds/G,Int,IntTD,FFum,DefTD,Tack,PD,Sack
Seattle Seahawks,16,17.3,291.8,81.5,210.3,14,0,16,3,548,76,37
Cincinnati Bengals,16,17.4,340.8,92.3,248.5,21,1,10,1,646,87,42
Kansas City Chiefs,16,17.9,329.3,98.2,231.1,22,4,13,6,665,92,47
Denver Broncos,16,18.5,283.1,83.6,199.6,14,4,20,5,656,83,52
Minnesota Vikings,16,18.9,344.2,109.3,234.9,13,2,10,3,718,65,43
Carolina Panthers,16,19.3,322.9,88.4,234.5,24,4,20,4,616,83,44
New York Jets,16,19.6,318.6,83.4,235.2,18,0,13,0,569,76,39
Arizona Cardinals,16,19.6,321.7,91.3,230.4,19,4,19,6,652,69,36
Houston Texans,16,19.6,310.2,99.8,210.4,14,2,10,3,590,90,45
New England Patriots,16,19.7,339.4,98.8,240.7,12,0,20,2,636,82,49
Pittsburgh Steelers,16,19.9,363.1,91.2,271.9,17,2,14,2,675,79,48
Green Bay Packers,16,20.2,346.7,119.1,227.6,16,2,11,2,660,72,43
St. Louis Rams,16,20.6,367.8,113.8,254.1,13,1,18,3,698,70,41
Atlanta Falcons,16,21.6,347.6,105,242.6,15,1,12,3,647,61,19
Buffalo Bills,16,22.4,356.4,108.1,248.3,17,2,5,3,622,93,21
Dallas Cowboys,16,23.4,348.1,120.9,227.3,8,1,5,1,637,53,31
Washington Redskins,16,23.7,380.6,122.6,258,11,1,21,2,607,60,38
San Francisco 49ers,16,24.2,387.4,126.3,261.2,9,1,5,1,759,58,28
Miami Dolphins,16,24.3,376.2,126.2,250,13,3,8,3,707,71,31
Chicago Bears,16,24.8,345.4,120.9,224.6,8,0,6,0,648,52,35
San Diego Chargers,16,24.9,361.9,125.3,236.6,11,1,9,1,660,61,32
Oakland Raiders,16,24.9,363.6,104.9,258.8,14,1,13,1,720,90,38
Detroit Lions,16,25,349.6,113,236.6,9,1,17,2,685,62,43
Baltimore Ravens,16,25.1,337.4,103.8,233.6,6,1,7,2,607,65,37
Indianapolis Colts,16,25.5,379.1,122,257.1,17,4,12,5,628,76,35
Tampa Bay Buccaneers,16,26.1,340.4,100.4,240,11,1,18,3,706,67,38
Tennessee Titans,16,26.4,342.2,112.3,229.9,11,1,7,2,598,58,39
Philadelphia Eagles,16,26.9,401.6,134.6,267.1,15,3,18,4,719,82,37
Cleveland Browns,16,27,379.2,128.4,250.8,11,2,14,2,603,54,29
New York Giants,16,27.6,420.3,121.4,298.9,15,2,17,4,767,87,23
Jacksonville Jaguars,16,28,375,106.8,268.2,9,1,14,3,697,73,36
New Orleans Saints,16,29.8,413.4,129.4,284,9,0,15,1,623,69,31
