Name,Team,G,M0-19,A0-19,M20-29,A20-29,M30-39,A30-39,M40-49,A40-49,M50+,A50+,FGM,FGA,Pct,Lng,XPM,XPA,Pct,Pts
Blair Walsh,MIN,16,0,0,9,9,13,15,6,7,6,8,34,39,87.2,54,33,37,89.2,135
Stephen Gostkowski,NWE,16,0,0,6,6,11,11,12,14,4,5,33,36,91.7,57,52,52,100,151
Robbie Gould,CHI,16,1,1,8,8,10,12,7,9,7,9,33,39,84.6,55,28,29,96.6,127
Justin Tucker,BAL,16,0,0,10,10,9,9,10,11,4,10,33,40,82.5,52,29,29,100,128
Cairo Santos,KAN,16,0,0,7,8,10,10,9,11,4,8,30,37,81.1,53,39,41,95.1,129
Dan Bailey,DAL,16,0,0,9,9,10,10,6,7,5,6,30,32,93.8,54,25,25,100,115
Brandon McManus,DEN,16,0,0,12,12,8,8,5,8,5,7,30,35,85.7,57,35,36,97.2,125
Graham Gano,CAR,16,1,1,10,10,4,5,13,16,2,4,30,36,83.3,52,56,59,94.9,146
Josh Brown,NYG,16,1,1,6,6,12,12,8,10,3,3,30,32,93.8,53,44,45,97.8,134
Chris Boswell,PIT,12,1,1,9,9,8,8,9,12,2,2,29,32,90.6,51,26,27,96.3,113
Steven Hauschka,SEA,16,0,0,9,9,7,7,7,9,6,6,29,31,93.5,54,40,44,90.9,127
Chandler Catanzaro,ARI,16,1,1,12,12,9,9,6,7,0,2,28,31,90.3,47,53,58,91.4,137
Travis Coons,CLE,16,0,0,11,11,10,10,7,9,0,2,28,32,87.5,47,22,24,91.7,106
Jason Myers,JAC,16,0,0,9,10,8,8,6,8,3,4,26,30,86.7,58,32,39,82.1,110
Josh Lambo,SDG,16,0,0,4,4,7,7,11,16,4,5,26,32,81.3,54,28,32,87.5,106
Adam Vinatieri,IND,16,0,0,7,8,6,6,8,8,4,5,25,27,92.6,55,32,35,91.4,107
Dustin Hopkins,WAS,15,0,0,7,7,9,9,7,8,2,4,25,28,89.3,54,39,40,97.5,114
Mason Crosby,GNB,16,1,1,7,7,4,4,8,11,4,5,24,28,85.7,56,36,36,100,108
Phil Dawson,SFO,16,0,0,9,10,6,6,6,8,3,3,24,27,88.9,54,20,21,95.2,92
Mike Nugent,CIN,16,0,0,6,6,5,6,10,13,2,3,23,28,82.1,52,48,49,98,117
Dan Carpenter,BUF,16,0,0,5,5,8,9,7,8,3,5,23,27,85.2,52,34,40,85,103
Connor Barth,TAM,12,0,0,9,9,8,8,3,6,3,5,23,28,82.1,53,25,26,96.2,94
Matt Prater,DET,16,0,0,3,3,8,9,6,6,5,6,22,24,91.7,59,36,39,92.3,102
Sebastian Janikowski,OAK,16,0,0,7,7,5,6,5,8,4,5,21,26,80.8,56,38,39,97.4,101
Greg Zuerlein,LAR,14,1,1,2,2,9,10,5,8,3,9,20,30,66.7,61,26,28,92.9,86
Randy Bullock,NYJ,11,1,1,4,4,6,6,8,11,0,1,19,23,82.6,49,22,25,88,79
Caleb Sturgis,PHI,13,0,0,4,4,8,10,4,4,2,4,18,22,81.8,53,35,37,94.6,89
Nick Novak,HOU,13,0,0,6,6,6,6,4,4,2,5,18,21,85.7,51,29,31,93.5,83
Ryan Succop,TEN,16,0,0,3,3,3,3,7,7,1,3,14,16,87.5,51,29,31,93.5,71
Matt Bryant,ATL,10,1,1,4,4,3,4,6,9,0,0,14,18,77.8,47,26,26,100,68
Nick Folk,NYJ,8,0,0,2,2,6,6,3,6,2,2,13,16,81.3,55,19,19,100,58
Andrew Franks,MIA,16,1,1,3,3,4,4,4,6,1,2,13,16,81.3,53,33,36,91.7,72
Shayne Graham,ATL,5,0,0,2,2,4,4,2,4,3,3,11,13,84.6,54,8,8,100,41
Kai Forbath,NOR,11,0,0,2,3,3,4,3,5,2,3,10,15,66.7,57,34,35,97.1,64
Zach Hocker,LAR,8,0,0,3,3,5,6,1,3,1,2,10,14,71.4,51,12,13,92.3,42
Kyle Brindza,TAM,4,0,0,1,2,2,3,1,3,2,4,6,12,50,58,6,8,75,24
Josh Scobee,PIT,4,0,0,2,2,1,1,3,7,0,0,6,10,60,45,6,7,85.7,24
Cody Parkey,PHI,3,0,0,1,1,1,1,1,2,0,0,3,4,75,46,7,7,100,16
Billy Cundiff,BUF,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0
Jordan Gay,BUF,14,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0
