Name,Team,G,Rush,RushYds,RushY/G,RushAvg,RushTD,Rec,Tgt,RecYds,RecY/G,RecAvg,RecLng,YAC,1stD,RecTD,Fum,FumL
Adrian Peterson,MIN,16,327,1485,92.8,4.5,11,30,36,222,13.9,7.4,49,8.7,8,0,7,3
Doug Martin,TAM,16,288,1402,87.6,4.9,6,33,44,271,16.9,8.2,25,7,10,1,5,5
Todd Gurley,LAR,13,229,1106,85.1,4.8,10,21,26,188,14.5,9,31,9.7,8,0,3,1
Darren McFadden,DAL,16,239,1089,68.1,4.6,3,40,53,328,20.5,8.2,21,8,12,0,3,3
Chris Ivory,NYJ,15,247,1070,71.3,4.3,7,30,37,217,14.5,7.2,36,9.5,9,1,4,2
Latavius Murray,OAK,16,266,1066,66.6,4,6,41,53,232,14.5,5.7,23,6.3,9,0,4,1
Devonta Freeman,ATL,15,265,1056,70.4,4,11,73,97,578,38.5,7.9,44,6.1,21,3,3,2
Jonathan Stewart,CAR,13,242,989,76.1,4.1,6,16,21,99,7.6,6.2,15,7.4,5,1,3,2
Frank Gore,IND,16,260,967,60.4,3.7,6,34,58,267,16.7,7.9,34,8.6,10,1,4,3
DeAngelo Williams,PIT,16,200,907,56.7,4.5,11,40,47,367,22.9,9.2,34,9.4,15,0,4,2
Matt Forte,CHI,13,218,898,69.1,4.1,4,44,58,389,29.9,8.8,38,8.3,17,3,2,1
LeSean McCoy,BUF,12,203,895,74.6,4.4,3,32,50,292,24.3,9.1,22,9.1,12,2,2,2
Lamar Miller,MIA,16,194,872,54.5,4.5,8,47,57,397,24.8,8.4,54,9.5,14,2,1,1
Rashad Jennings,NYG,16,195,863,53.9,4.4,3,29,40,296,18.5,10.2,51,10.9,8,1,2,2
Ronnie Hillman,DEN,16,207,863,53.9,4.2,7,24,35,111,6.9,4.6,14,5.2,3,0,3,1
Thomas Rawls,SEA,13,147,830,63.8,5.6,4,9,11,76,5.8,8.4,31,8.7,2,1,1,1
Chris Johnson,ARI,11,196,814,74,4.2,3,6,13,58,5.3,9.7,40,11.3,1,0,2,2
Jeremy Hill,CIN,16,223,794,49.6,3.6,11,15,19,79,4.9,5.3,14,5.8,5,1,3,3
Mark Ingram,NOR,12,166,769,64.1,4.6,6,50,60,405,33.8,8.1,59,9.2,22,0,2,1
Eddie Lacy,GNB,15,187,758,50.5,4.1,3,20,28,188,12.5,9.4,28,11.1,7,2,4,2
Alfred Morris,WAS,16,202,751,46.9,3.7,1,10,13,55,3.4,5.5,12,3.6,2,0,0,0
T.J. Yeldon,JAC,12,182,740,61.7,4.1,2,36,46,279,23.3,7.8,67,8.1,14,1,0,0
Giovani Bernard,CIN,16,154,730,45.6,4.7,2,49,66,472,29.5,9.6,45,9.9,18,0,1,0
C.J. Anderson,DEN,15,152,720,48,4.7,5,25,36,183,12.2,7.3,27,5.9,6,0,2,2
Isaiah Crowell,CLE,16,185,706,44.1,3.8,4,19,22,182,11.4,9.6,53,11.7,6,1,0,0
LeGarrette Blount,NWE,12,165,703,58.6,4.3,6,6,7,43,3.6,7.2,14,5.7,3,1,1,0
DeMarco Murray,PHI,15,193,702,46.8,3.6,6,44,55,322,21.5,7.3,44,9.2,12,1,2,2
Alfred Blue,HOU,16,183,698,43.6,3.8,2,15,16,109,6.8,7.3,21,4.7,2,1,2,1
Justin Forsett,BAL,10,151,641,64.1,4.2,2,31,41,153,15.3,4.9,32,4.3,4,0,0,0
Melvin Gordon,SDG,14,184,641,45.8,3.5,0,33,37,192,13.7,5.8,18,7.9,8,0,6,4
Charcandrick West,KAN,15,160,634,42.3,4,4,20,34,214,14.3,10.7,80,12.1,6,1,1,1
James Starks,GNB,16,148,601,37.6,4.1,2,43,53,392,24.5,9.1,30,11.5,15,3,5,3
Ameer Abdullah,DET,16,143,597,37.3,4.2,2,25,38,183,11.4,7.3,36,8.2,11,1,4,2
David Johnson,ARI,16,125,581,36.3,4.6,8,36,57,457,28.6,12.7,55,9.9,21,4,3,0
Le'Veon Bell,PIT,6,113,556,92.7,4.9,3,24,26,136,22.7,5.7,20,6,4,0,0,0
Ryan Mathews,PHI,13,106,539,41.5,5.1,6,20,28,146,11.2,7.3,23,8.3,5,1,3,3
Jeremy Langford,CHI,16,148,537,33.6,3.6,6,22,42,279,17.4,12.7,83,10.9,9,1,0,0
Charles Sims,TAM,16,107,529,33.1,4.9,0,51,70,561,35.1,11,56,9.5,22,4,2,2
Antonio Andrews,TEN,14,143,520,37.1,3.6,3,21,29,174,12.4,8.3,23,8.6,8,0,1,1
Karlos Williams,BUF,11,93,517,47,5.6,7,11,14,96,8.7,8.7,26,4.7,3,2,2,1
Javorius Allen,BAL,16,137,514,32.1,3.8,1,45,62,353,22.1,7.8,41,7.2,16,2,2,2
Matt Jones,WAS,13,144,490,37.7,3.4,3,19,25,304,23.4,16,78,14,10,1,5,4
Carlos Hyde,SFO,7,115,470,67.1,4.1,3,11,15,53,7.6,4.8,11,5.9,4,0,1,0
Marshawn Lynch,SEA,7,111,417,59.6,3.8,3,13,21,80,11.4,6.2,19,6.7,5,0,0,0
Spencer Ware,KAN,11,72,403,36.6,5.6,6,6,6,5,0.5,0.8,5,2.2,0,0,0,0
Tevin Coleman,ATL,12,87,392,32.7,4.5,1,2,11,14,1.2,7,10,6,0,0,3,3
Duke Johnson Jr.,CLE,16,104,379,23.7,3.6,0,61,74,534,33.4,8.8,52,7.8,23,2,1,0
Tim Hightower,NOR,8,96,375,46.9,3.9,4,12,13,129,16.1,10.8,27,11.8,7,0,0,0
Jamaal Charles,KAN,5,71,364,72.8,5.1,4,21,30,177,35.4,8.4,26,10.1,10,1,3,2
Danny Woodhead,SDG,16,98,336,21,3.4,3,80,106,755,47.2,9.4,61,9.2,39,6,0,0
Chris Polk,HOU,15,99,334,22.3,3.4,1,16,28,109,7.3,6.8,12,4.1,5,1,0,0
Darren Sproles,PHI,16,83,317,19.8,3.8,3,55,83,388,24.3,7.1,35,7,19,1,1,0
Joseph Randle,DAL,6,76,315,52.5,4.1,4,10,10,86,14.3,8.6,25,8.1,6,0,1,0
Bilal Powell,NYJ,11,70,313,28.5,4.5,1,47,63,388,35.3,8.3,25,9.4,21,2,2,0
Joique Bell,DET,13,90,311,23.9,3.5,4,22,27,286,22,13,39,14,10,0,1,0
Andre Ellington,ARI,10,45,289,28.9,6.4,3,15,24,148,14.8,9.9,32,5.5,8,0,1,1
Jonathan Grimes,HOU,14,56,282,20.1,5,1,26,31,173,12.4,6.7,19,5.4,7,1,0,0
Shaun Draughn,SFO,11,78,273,24.8,3.5,1,27,35,176,16,6.5,26,6.9,7,0,1,0
Jerick McKinnon,MIN,16,52,271,16.9,5.2,2,21,29,173,10.8,8.2,30,8.6,9,1,0,0
Mike Gillislee,BUF,5,47,267,53.4,5.7,3,6,7,29,5.8,4.8,14,6.2,2,0,1,1
Denard Robinson,JAC,13,67,266,20.5,4,1,21,30,164,12.6,7.8,16,7.3,8,0,3,1
Shane Vereen,NYG,16,61,260,16.3,4.3,0,59,81,495,30.9,8.4,37,7.4,23,4,0,0
Andre Williams,NYG,16,88,257,16.1,2.9,1,1,3,7,0.4,7,7,3,0,0,0,0
Mike Tolbert,CAR,16,62,256,16,4.1,1,18,23,154,9.6,8.6,40,7.9,8,3,0,0
Dexter McCluster,TEN,11,55,247,22.5,4.5,1,31,41,260,23.6,8.4,35,7,12,1,2,2
Christine Michael,DAL,8,54,243,30.4,4.5,0,3,6,16,2,5.3,11,6,1,0,0,0
Dion Lewis,NWE,7,49,234,33.4,4.8,2,36,50,388,55.4,10.8,40,9.4,16,2,2,1
Terrance West,BAL,8,62,231,28.9,3.7,0,4,5,21,2.6,5.3,8,4.5,0,0,2,2
Donald Brown,SDG,10,59,229,22.9,3.9,1,8,13,88,8.8,11,31,13.8,2,0,1,0
Chris Thompson,WAS,13,35,216,16.6,6.2,0,35,48,240,18.5,6.9,23,5.2,14,2,2,0
