Team,G,PR,Yds,Avg,KR,Yds,Avg
Minnesota Vikings,16,34,311,9.1,42,1190,28.3
Detroit Lions,16,30,209,7,44,1220,27.7
Chicago Bears,16,31,242,7.8,33,892,27
Atlanta Falcons,16,27,255,9.4,26,667,25.7
Seattle Seahawks,16,42,450,10.7,34,868,25.5
Cleveland Browns,16,29,325,11.2,41,1041,25.4
Baltimore Ravens,16,40,450,11.3,34,857,25.2
Dallas Cowboys,16,33,183,5.5,28,704,25.1
Washington Redskins,16,32,153,4.8,40,999,25
New York Giants,16,36,367,10.2,39,971,24.9
Green Bay Packers,16,31,167,5.4,36,881,24.5
St. Louis Rams,16,39,300,7.7,34,830,24.4
Indianapolis Colts,16,39,268,6.9,43,1047,24.3
Pittsburgh Steelers,16,28,231,8.3,29,701,24.2
Tampa Bay Buccaneers,16,29,288,9.9,21,506,24.1
Arizona Cardinals,16,39,289,7.4,32,770,24.1
Houston Texans,16,52,377,7.3,18,430,23.9
Oakland Raiders,16,42,272,6.5,53,1268,23.9
San Francisco 49ers,16,30,226,7.5,42,993,23.6
Jacksonville Jaguars,16,31,361,11.6,31,721,23.3
Kansas City Chiefs,16,45,355,7.9,35,791,22.6
Miami Dolphins,16,41,424,10.3,43,958,22.3
Denver Broncos,16,29,283,9.8,27,588,21.8
New Orleans Saints,16,32,275,8.6,28,605,21.6
Philadelphia Eagles,16,39,443,11.4,27,565,20.9
San Diego Chargers,16,20,84,4.2,28,583,20.8
New York Jets,16,49,422,8.6,37,771,20.8
Cincinnati Bengals,16,43,350,8.1,34,700,20.6
Tennessee Titans,16,38,307,8.1,33,680,20.6
New England Patriots,16,47,473,10.1,25,469,18.8
Buffalo Bills,16,31,232,7.5,41,772,18.8
Carolina Panthers,16,30,282,9.4,22,407,18
