Name,Team,G,Rec,Tgt,RecYds,RecY/G,RecAvg,RecLng,YAC,1stD,RecTD,KR,KRYds,KRAvg,KRLong,KRTD,PR,PRYds,PRAvg,PRLong,PRTD,Fum,FumL
Julio Jones,ATL,16,136,203,1871,116.9,13.8,70,5,93,8,0,0,0,0,0,0,0,0,0,0,3,1
Antonio Brown,PIT,16,136,193,1834,114.6,13.5,59,4.3,84,10,0,0,,0,0,22,212,9.6,71,1,1,1
DeAndre Hopkins,HOU,16,111,192,1521,95.1,13.7,61,1.6,83,11,0,0,0,0,0,0,0,0,0,0,1,0
Brandon Marshall,NYJ,16,109,173,1502,93.9,13.8,69,3.8,76,14,0,0,0,0,0,0,0,0,0,0,3,2
Odell Beckham Jr.,NYG,15,96,158,1450,96.7,15.1,87,6.1,67,13,0,0,,0,0,2,26,13,21,0,2,0
Allen Robinson,JAC,16,80,151,1400,87.5,17.5,90,4,61,14,0,0,0,0,0,0,0,0,0,0,0,0
Demaryius Thomas,DEN,16,105,177,1304,81.5,12.4,72,4.7,63,6,0,0,0,0,0,0,0,0,0,0,2,2
A.J. Green,CIN,16,86,132,1297,81.1,15.1,80,3.6,63,10,0,0,0,0,0,0,0,0,0,0,1,1
Larry Fitzgerald,ARI,16,109,145,1215,75.9,11.1,44,4.3,65,9,0,0,0,0,0,0,0,0,0,0,2,2
Calvin Johnson,DET,16,88,149,1214,75.9,13.8,57,3.1,65,9,0,0,0,0,0,0,0,0,0,0,1,1
Mike Evans,TAM,15,74,148,1206,80.4,16.3,68,3.3,63,3,0,0,0,0,0,0,0,0,0,0,1,1
Jarvis Landry,MIA,16,110,166,1157,72.3,10.5,50,5.3,60,4,13,321,24.7,50,0,36,356,9.9,69,1,0,0
Brandin Cooks,NOR,16,84,129,1138,71.1,13.5,71,4.6,45,9,0,0,,0,0,2,12,6,6,0,1,0
Emmanuel Sanders,DEN,15,76,137,1135,75.7,14.9,75,5,51,6,1,13,13,13,0,17,103,6.1,14,0,1,1
T.Y. Hilton,IND,16,69,134,1124,70.3,16.3,87,5.6,49,5,0,0,,0,0,4,16,4,10,0,1,0
Jeremy Maclin,KAN,15,87,124,1088,72.5,12.5,61,3.8,49,8,0,0,,0,0,2,13,6.5,11,0,2,1
Amari Cooper,OAK,16,72,130,1070,66.9,14.9,68,5.3,45,6,0,0,,0,0,8,41,5.1,18,0,1,1
Doug Baldwin,SEA,16,78,103,1069,66.8,13.7,80,5.2,47,14,0,0,0,0,0,0,0,0,0,0,1,0
Sammy Watkins,BUF,13,60,96,1047,80.5,17.5,63,2.8,41,9,0,0,0,0,0,0,0,0,0,0,0,0
Allen Hurns,JAC,15,64,105,1031,68.7,16.1,80,5.2,48,10,0,0,0,0,0,0,0,0,0,0,2,1
Eric Decker,NYJ,15,80,132,1027,68.5,12.8,35,2.3,60,12,0,0,,0,0,1,11,11,11,0,1,1
John Brown,ARI,15,65,101,1003,66.9,15.4,68,4.9,49,7,0,0,0,0,0,0,0,0,0,0,1,1
Jordan Matthews,PHI,16,85,128,997,62.3,11.7,78,5.1,44,8,0,0,0,0,0,0,0,0,0,0,2,1
Willie Snead,NOR,15,69,101,984,65.6,14.3,63,5.1,44,3,0,0,0,0,0,0,0,0,0,0,2,1
Travis Benjamin,CLE,16,68,125,966,60.4,14.2,61,5.1,39,5,0,0,,0,0,28,324,11.6,78,1,1,1
Kamar Aiken,BAL,16,75,127,944,59,12.6,48,2.5,53,5,0,0,0,0,0,0,0,0,0,0,1,1
Michael Crabtree,OAK,16,85,146,922,57.6,10.8,38,3.3,45,9,0,0,0,0,0,0,0,0,0,0,1,0
James Jones,GNB,16,50,99,890,55.6,17.8,65,5.3,39,8,0,0,0,0,0,0,0,0,0,0,1,0
Michael Floyd,ARI,15,52,89,849,56.6,16.3,60,4,40,6,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Williams,DAL,16,52,93,840,52.5,16.2,42,5.4,36,3,1,9,9,9,0,0,0,,0,0,0,0
Randall Cobb,GNB,16,79,129,829,51.8,10.5,53,5.7,42,6,0,0,,0,0,4,10,2.5,10,0,0,0
Marvin Jones,CIN,16,65,103,816,51,12.6,47,4.5,33,4,0,0,0,0,0,0,0,0,0,0,0,0
Golden Tate,DET,16,90,128,813,50.8,9,43,6.1,50,6,1,26,26,26,0,20,149,7.5,23,0,1,1
Alshon Jeffery,CHI,9,54,94,807,89.7,14.9,50,3.5,43,4,0,0,0,0,0,0,0,0,0,0,1,0
Rueben Randle,NYG,16,57,90,797,49.8,14,72,3.6,35,8,0,0,0,0,0,0,0,0,0,0,0,0
Anquan Boldin,SFO,14,69,111,789,56.4,11.4,51,4.2,35,4,0,0,0,0,0,0,0,0,0,0,1,1
Pierre Garcon,WAS,16,72,111,777,48.6,10.8,39,2.3,43,6,0,0,0,0,0,0,0,0,0,0,0,0
Martavis Bryant,PIT,11,50,92,765,69.5,15.3,88,6.7,25,6,0,0,0,0,0,0,0,0,0,0,1,1
Markus Wheaton,PIT,16,44,79,749,46.8,17,72,3.6,32,5,5,105,21,28,0,0,0,,0,0,0,0
Ted Ginn Jr.,CAR,15,44,96,739,49.3,16.8,74,5,36,10,1,8,8,8,0,27,277,10.3,37,0,0,0
Donte Moncrief,IND,16,64,105,733,45.8,11.5,33,4.1,40,6,1,5,5,5,0,0,0,,0,0,0,0
Keenan Allen,SDG,8,67,89,725,90.6,10.8,38,3.8,34,4,0,0,,0,0,3,5,1.7,5,0,0,0
Stefon Diggs,MIN,13,52,84,720,55.4,13.8,40,5.7,31,4,1,22,22,22,0,0,0,,0,0,2,0
Julian Edelman,NWE,9,61,88,692,76.9,11.3,59,5.3,37,7,0,0,,0,0,10,81,8.1,19,0,1,1
Jermaine Kearse,SEA,16,49,68,685,42.8,14,50,4.5,32,5,0,0,0,0,0,0,0,0,0,0,1,0
Kenny Britt,LAR,16,36,72,681,42.6,18.9,60,6.1,29,3,0,0,0,0,0,0,0,0,0,0,0,0
Steve Smith Sr.,BAL,7,46,73,670,95.7,14.6,50,5.6,28,3,0,0,,0,0,2,32,16,22,0,0,0
Tyler Lockett,SEA,16,51,69,664,41.5,13,49,4.9,31,6,33,852,25.8,105,1,40,379,9.5,66,1,0,0
Torrey Smith,SFO,16,33,62,663,41.4,20.1,76,6.9,23,4,0,0,0,0,0,0,0,0,0,0,0,0
Rishard Matthews,MIA,11,43,61,662,60.2,15.4,53,5.7,31,4,0,0,,0,0,1,9,9,9,0,0,0
Nate Washington,HOU,14,47,94,658,47,14,49,3.4,33,4,0,0,0,0,0,0,0,0,0,0,0,0
Danny Amendola,NWE,14,65,87,648,46.3,10,41,4,32,3,8,172,21.5,29,0,23,276,12,82,0,0,0
Jamison Crowder,WAS,16,59,78,604,37.8,10.2,44,5.8,34,2,1,13,13,13,0,30,158,5.3,16,0,2,0
Malcom Floyd,SDG,15,30,69,561,37.4,18.7,70,3.2,19,3,0,0,0,0,0,0,0,0,0,0,1,1
Robert Woods,BUF,14,47,80,552,39.4,11.7,37,2.9,27,3,0,0,0,0,0,0,0,0,0,0,2,1
Dorial Green-Beckham,TEN,16,32,67,549,34.3,17.2,47,4.2,30,4,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Jackson,TAM,10,33,63,543,54.3,16.5,36,3.4,28,3,0,0,0,0,0,0,0,0,0,0,0,0
Cole Beasley,DAL,16,52,75,536,33.5,10.3,30,5.9,31,5,0,0,,0,0,12,69,5.8,22,0,1,1
DeSean Jackson,WAS,9,30,49,528,58.7,17.6,77,5.3,15,4,1,8,8,8,0,2,-5,-2.5,2,0,0,0
Brian Hartline,CLE,12,46,77,523,43.6,11.4,41,3.3,30,2,0,0,0,0,0,0,0,0,0,0,1,0
Marques Colston,NOR,13,45,67,520,40,11.6,53,4.3,26,4,0,0,0,0,0,0,0,0,0,0,0,0
Brandon LaFell,NWE,11,37,74,515,46.8,13.9,54,6.7,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Roddy White,ATL,16,43,70,506,31.6,11.8,25,2.6,27,1,0,0,,0,0,0,0,,0,0,0,0
Andre Johnson,IND,16,41,77,503,31.4,12.3,35,3.7,31,4,0,0,0,0,0,0,0,0,0,0,0,0
Stevie Johnson,SDG,10,45,65,497,49.7,11,34,5.9,29,3,0,0,0,0,0,0,0,0,0,0,1,0
DeVante Parker,MIA,14,26,50,494,35.3,19,49,4.4,20,3,0,0,0,0,0,0,0,0,0,0,0,0
Dontrelle Inman,SDG,14,35,63,486,34.7,13.9,68,5,21,3,0,0,0,0,0,0,0,0,0,0,2,1
Jerricho Cotchery,CAR,14,39,54,485,34.6,12.4,59,4.9,26,3,0,0,0,0,0,0,0,0,0,0,0,0
